num_vertices_local,total,cpu,min_from_cluster_kernel,min_to_cluster_kernel,DtoH,HtoD
1,7569.589844,396,1290.77,295.36,485.35,54.515
2,8994.246094,388,2429.64,571.33,481.72,54.617
4,11765.416992,387,4651.18,1130.38,481.77,54.518
8,17665.583984,436,9060.06,2258.5,483.14,54.351
16,20486.853516,396,12056.8,23551.9,482.98,54.912
32,27390.041016,406,18528.7,2592.53,483.27,54.377
64,40030.300781,390,31059.9,3003.27,483.89,54.649
128,66674.617188,391,56652.3,4094.23,483.31,54.137
256,121500.117188,401,108694,6468.42,482.74,54.408
512,148623.609375,388,132746,9941.1,478.67,53.979
1024,185521.140625,388,161894,17669.9,482.64,54.691
2048,232709.546875,392,194769,31922.5,479.77,54.216
4096,295635.6875,400,230626,59057.5,479.08,53.793
8192,386817.25,386,272566,108342,477.81,53.798
